PRODUCT NAME,TYPE,SUB-TYPES,LIFESTYLE,DEALS,ORIGINS CERTIFIED,CBD,FARM,Cannabinoid ratio,PRICE(1),WEIGHT (AMOUNT)(1),WEIGHT (TYPE)(1),PRICE(2),WEIGHT (AMOUNT)(2),WEIGHT (TYPE)(2),PRICE(3),WEIGHT (AMOUNT)(3),WEIGHT (TYPE)(3),PRICE(4),WEIGHT (AMOUNT)(4),WEIGHT (TYPE)(4),PRICE(5),WEIGHT (AMOUNT)(5),WEIGHT (TYPE)(5),PRICE(6),WEIGHT (AMOUNT)(6),WEIGHT (TYPE)(6),PRODUCT DESCRIPTION
Bigfoot rosin,Concentrates,,AFTER HOURS,,,,Botanimax,,9,0.3,G,,,,,,,,,,,,,,,,
Blue Dream,Concentrates,,SELF DISCOVERY,,,,Lifted,,48,1,G,,,,,,,,,,,,,,,,
Blue Dream Kief,Concentrates,,SELF DISCOVERY,,,,Salish Sativas,,20,1,G,,,,,,,,,,,,,,,,
Boy Scout Cookies,Concentrates,,AFTER HOURS,,,,SPP,,48,1,G,,,,,,,,,,,,,,,,
Bruce Banner Kief,Concentrates,,AFTER HOURS,,,,Salish Sativas,,20,1,G,,,,,,,,,,,,,,,,
Cannabull Resin,Concentrates,,SOCIAL,,,,Avitas,,30,0.5,G,,,,,,,,,,,,,,,,
Cheese Honey Crystal,Concentrates,,SOCIAL,,,,Oleum,,55,1,G,,,,,,,,,,,,,,,,
Chernobyl,Concentrates,,ADVENTUROUS,,,,SPP,,45,1,G,,,,,,,,,,,,,,,,
Cinex,Concentrates,,SELF DISCOVERY,,,,SPP,,45,1,G,,,,,,,,,,,,,,,,
Cinex rosin,Concentrates,,SELF DISCOVERY,,,,Botanimax,,36,1,G,,,,,,,,,,,,,,,,
Cinex Sugar Resin,Concentrates,,SELF DISCOVERY,DEALS,,,Oleum,,35,1,G,,,,,,,,,,,,,,,,
Cookies and Cream,Concentrates,,AFTER HOURS,,,,Lifted,,48,1,G,,,,,,,,,,,,,,,,
Cookies n Cream Sugar Resin,Concentrates,,AFTER HOURS,,,,Oleum,,45,1,G,,,,,,,,,,,,,,,,
CPK Sugar Resin,Concentrates,,PARTY GO'ER,,,,Oleum,,45,1,G,,,,,,,,,,,,,,,,
French Milkshake Shatter,Concentrates,,SOCIAL,,,,Svin,,40,1,G,,,,,,,,,,,,,,,,
Fruity Chronic Kush Sugar Wax,Concentrates,,PARTY GO'ER,,,,Svin,,40,1,G,,,,,,,,,,,,,,,,
Girl Scout Cookies rosin,Concentrates,,AFTER HOURS,,,,Botanimax,,36,1,G,,,,,,,,,,,,,,,,
Goji OG Terp Sauce,Concentrates,,SOCIAL,,,,Lifted,,48,1,G,,,,,,,,,,,,,,,,
Gorilla Glue #4 Terp Batter,Concentrates,,PARTY GO'ER,,,,Svin,,40,1,G,,,,,,,,,,,,,,,,
Gorilla Glue 6* Polar Ice Hash,Concentrates,,PARTY GO'ER,,,,Gold Leaf,,48,0.5,G,70,1,G,,,,,,,,,,,,,
Green Goo BHO,Concentrates,,SOCIAL,,,,Svin,,40,1,G,,,,,,,,,,,,,,,,
Green Widow BHO,Concentrates,,SELF DISCOVERY,,,,Svin,,40,1,G,,,,,,,,,,,,,,,,
Indica CBD RSO,Concentrates,,HOLISTIC,,,,Ethos,,40,1,G,,,,,,,,,,,,,,,,
Indica Diablo Live Resin,Concentrates,,PARTY GO'ER,,,,Svin,,50,1,G,,,,,,,,,,,,,,,,
Lemon Cheesecake Live Resin,Concentrates,,AFTER HOURS,,,,Svin,,50,1,G,,,,,,,,,,,,,,,,
Lemon Haze Diesel Live Resin,Concentrates,,ADVENTUROUS,,,,Svin,,50,1,G,,,,,,,,,,,,,,,,
Liberrty CBD Shatter,Concentrates,,HOLISTIC,,,,CE Gardens,,30,1,G,,,,,,,,,,,,,,,,
Locktite BHO,Concentrates,,SOCIAL,,,,Svin,,40,1,G,,,,,,,,,,,,,,,,
Mcberry ,Concentrates,,SOCIAL,,,,SPP,,48,1,G,,,,,,,,,,,,,,,,
Mendo City Purps Hash,Concentrates,,AFTER HOURS,,,,Green Barn Farms,,35,1,G,,,,,,,,,,,,,,,,
Mixed CBD Kief,Concentrates,,HOLISTIC,,,,Salish Sativas,,20,1,G,,,,,,,,,,,,,,,,
OG Kush rosin,Concentrates,,SOCIAL,,,,Avitas,,30,0.5,G,,,,,,,,,,,,,,,,
OGRingo,Concentrates,,SOCIAL,,,,SPP,,45,1,G,,,,,,,,,,,,,,,,
Peppermint Cookies 5* Polar Ice Hash,Concentrates,,AFTER HOURS,,,,Gold Leaf,,40,0.5,G,,,,,,,,,,,,,,,,
Peppermint Cookies 6* Polar Ice Hash,Concentrates,,AFTER HOURS,,,,Gold Leaf,,48,0.5,G,80,1,G,,,,,,,,,,,,,
Pineapple Express Live Resin,Concentrates,,ADVENTUROUS,,,,Svin,,50,1,G,,,,,,,,,,,,,,,,
Purple Kush Sugar Resin,Concentrates,,PARTY GO'ER,,,,Oleum,,45,1,G,,,,,,,,,,,,,,,,
RudeBoi Hash Rosin,Concentrates,,AFTER HOURS,,,,Gold Leaf,,75,1,G,,,,,,,,,,,,,,,,
Sativa CBD RSO,Concentrates,,HOLISTIC,,,,Ethos,,40,1,G,,,,,,,,,,,,,,,,
Scooby Snacks,Concentrates,,AFTER HOURS,,,,T.H.Sea,,48,1,G,,,,,,,,,,,,,,,,
Siberian White Widow Live Resin,Concentrates,,PARTY GO'ER,,,,Svin,,50,1,G,,,,,,,,,,,,,,,,
Sour Diesel Hash Rosin,Concentrates,,SELF DISCOVERY,,,,Gold Leaf,,75,1,G,,,,,,,,,,,,,,,,
Super Lemon Haze,Concentrates,,SELF DISCOVERY,,,,T.H.Sea,,48,1,G,,,,,,,,,,,,,,,,
The White Sugar Resin,Concentrates,,AFTER HOURS,,,,Oleum,,45,1,G,,,,,,,,,,,,,,,,
Timewreck Live Resin,Concentrates,,ADVENTUROUS,,,,Svin,,50,1,G,,,,,,,,,,,,,,,,
White Bubba honey crystal,Concentrates,,AFTER HOURS,,,,Oleum,,55,1,G,,,,,,,,,,,,,,,,
White Lightning,Concentrates,,ADVENTUROUS,,,,T.H.Sea,,48,1,G,,,,,,,,,,,,,,,,
White Sky Sugar Resin,Concentrates,,AFTER HOURS,,,,Oleum,,45,1,G,,,,,,,,,,,,,,,,
Wonder Woman Hash,Concentrates,,ADVENTUROUS,,,,Green Barn Farms,,35,1,G,,,,,,,,,,,,,,,,
Hard Candies - Apple,Edibles,,AFTER HOURS,,,,Nasty Jacks,,4,10,MG,,,,,,,,,,,,,,,,"Delicious hard candies infused with high quality cannabis oil. Available in: Apple, Mango and Root Beer"
Berry,Edibles,,SOCIAL,,,,CannaBurst,,32,10pk/100,MG,,,,,,,,,,,,,,,,Unavailable
Blue Balls,Edibles,,AFTER HOURS,,,,Nasty Jacks,,35,10pk/100,MG,,,,,,,,,,,,,,,,Nasty Jacks blue balls feature chocolate and pretzles and cannabis! What else could you need?
Grape Candy,Edibles,,SOCIAL,,,,CannaBurst,,32,10pk/100,MG,,,,,,,,,,,,,,,,Unavailable
Malt Balls,Edibles,,AFTER HOURS,,,,Nasty Jacks,,35,10pk/100,MG,,,,,,,,,,,,,,,,These delicious handmade Malt Balls are sure to take you back to the good ol' days. Delicious chocolate with a satisfying center! 
Mango Fruit Chew,Edibles,,SOCIAL,,,,CannaBurst,,32,10pk/100,MG,,,,,,,,,,,,,,,,Unavailable
Raspberry,Edibles,,AFTER HOURS,,,,Nasty Jacks,,4,10,MG,,,,,,,,,,,,,,,,"Delicious hard candies infused with high quality cannabis oil. Available in: Apple, Mango and Root Beer"
Rootbeer,Edibles,,HOLISTIC,,,,Nasty Jacks,,4,10,MG,,,,,,,,,,,,,,,,"Delicious hard candies infused with high quality cannabis oil. Available in: Apple, Mango and Root Beer
"
Strawberry Quencher Hardcandy,Edibles,,AFTER HOURS,,,,Evergreen Herbal,,30,100,MG,,,,,,,,,,,,,,,,All the fruit flavor and potency of the beverages in a bite-sized hard candy! Fruit Sparks come in a twin pack so you customize your dose. Sublingual absorption allows cannabinoids to enter the bloodstream more rapidly for faster relief
Strawberry Chew,Edibles,,HOLISTIC,,,,CannaBurst,,32,10pk/100,MG,,,,,,,,,,,,,,,,Unavailable
White Chocolate,Edibles,,AFTER HOURS,,,,Seagoat ,,29,100,MG,,,,,,,,,,,,,,,,Taste a bite of these delicious cannabis infused chocolate bars. Available in several flavors and all made with natural ingredients!
420 Mini Hemp Crunch ,Edibles,,AFTER HOURS,,,,Evergreen Herbal ,,35,100,MG,,,,,,,,,,,,,,,,"Available in Dark Chocolate, Hemp Crunch, Milk Chocolate Toffee, Dark Chocolate Espresso and Hazelnut."
420 Mini Milk Chocolate Toffee ,Edibles,,AFTER HOURS,,,,Evergreen Herbal ,,35,100,MG,,,,,,,,,,,,,,,,"Available in Dark Chocolate, Hemp Crunch, Milk Chocolate Toffee, Dark Chocolate Espresso and Hazelnut."
Beauty Sleep,Edibles,,HOLISTIC,,,,Ethos,,40,100,MG,,,,,,,,,,,,,,,,
Belgium Chocolate (Dark),Edibles,,AFTER HOURS,,,,CannaVita,,5,10,MG,33,100,MG,,,,,,,,,,,,,"Choose between Milk, Dark or Raspberry Chocolate made by Canna Vita. Handmade with premium natural ingredients. No artificial flavors or preservatives."
